trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
29,0,29,0,71.64422469999408,,71.57032849994721,10,71.64422469999408,71.64422469999408,0.044885899988003075,73.73110659996746,[-0.274],[-0.172],[1],[0],[0],[2.1164875999675132],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
30,0,30,0,73.79391889995895,,73.73802189994603,10,73.79391889995895,73.79391889995895,0.04096369998296723,75.64648569998099,[-0.02],[0.424],[1],[0],[0],[1.8682103999890387],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
31,0,31,0,75.71163029997842,,75.65419049997581,5,75.71163029997842,75.71163029997842,0.032471699989400804,77.42997369996738,[0.052],[-0.212],[1],[0],[0],[1.744191600009799],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
32,0,32,0,77.51045629999135,,77.43776109995088,10,77.51045629999135,77.51045629999135,0.053079299977980554,79.78115689998958,[-0.146],[0.392],[1],[0],[0],[2.2912473999895155],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
33,0,33,0,79.86058599996613,,79.7880399999558,10,79.86058599996613,79.86058599996613,0.047803400026168674,82.09735219995491,[0.194],[-0.406],[1],[0],[0],[2.2622320000082254],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
34,0,34,0,82.1436939999694,,82.10426889994415,5,82.1436939999694,82.1436939999694,0.03197780001210049,83.78172989998711,[0.122],[-0.054],[1],[0],[0],[1.6462074000155553],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
35,0,35,0,83.8269244999974,,83.7884324999759,5,83.8269244999974,83.8269244999974,0.03012519999174401,85.31434729998,[-0.034],[-0.314],[1],[0],[0],[1.4965101000270806],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
36,0,36,0,85.36040929995943,,85.32106979994569,5,85.36040929995943,85.36040929995943,0.02888070000335574,87.1466726999497,[-0.252],[0.308],[1],[0],[0],[1.7974202999612316],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
37,0,37,0,87.22716529999161,,87.1547992999549,10,87.22716529999161,87.22716529999161,0.05642679997254163,89.3644876999897,[0.176],[-0.372],[1],[0],[0],[2.1541864000028],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
38,0,38,0,89.41054299997631,,89.37193599995226,5,89.41054299997631,89.41054299997631,0.028073100023902953,91.69758859998547,[-0.296],[0.106],[1],[0],[0],[2.2983169999788515],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
39,0,39,0,91.76113829994574,,91.70426459994633,5,91.76113829994574,91.76113829994574,0.030027400003746152,93.04772709996905,[-0.312],[0.016],[1],[0],[0],[1.313977400015574],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
40,0,40,0,93.09370379999746,,93.05431349994615,5,93.09370379999746,93.09370379999746,0.031793200003448874,94.8659538999782,[-0.458],[0.058],[1],[0],[0],[1.780450300022494],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
41,0,41,0,94.92788449994987,,94.8724222999881,5,94.92788449994987,94.92788449994987,0.030252100026700646,96.63103299995419,[-0.044],[0.306],[1],[0],[0],[1.7290805000229739],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
42,0,42,0,96.6938084999565,,96.6377088999725,10,96.6938084999565,96.6938084999565,0.03429440001491457,99.31346309999935,[-0.244],[0.326],[1],[0],[0],[2.6420705000055023],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
43,0,43,0,99.39402379997773,,99.32027049997123,10,99.39402379997773,99.39402379997773,0.04642169998260215,101.52921679994324,[-0.476],[-0.27],[1],[0],[0],[2.1635141000151634],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
44,0,44,0,101.56049059994984,,101.53165959997568,5,101.56049059994984,101.56049059994984,0.013196000014431775,103.16679949994432,[-0.154],[-0.066],[1],[0],[0],[1.6217978000058793],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
45,0,45,0,103.24477609997848,,103.1748668999644,10,103.24477609997848,103.24477609997848,0.05636479996610433,105.28001279995078,[0.332],[-0.068],[1],[0],[0],[2.0494284000014886],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
46,0,46,0,105.36103489995003,,105.28744319995167,10,105.36103489995003,105.36103489995003,0.048382500011939555,107.43078249995597,[0.252],[0.382],[1],[0],[0],[2.0955559000140056],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
47,0,47,0,107.51071319996845,,107.43782079999801,10,107.51071319996845,107.51071319996845,0.05367709998972714,109.11356389999855,[-0.472],[-0.292],[1],[0],[0],[1.6226760999998078],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
48,0,48,0,109.27721269999165,,109.12085569999181,10,109.27721269999165,109.27721269999165,0.13483669998822734,110.67982839996694,[-0.132],[0.018],[1],[0],[0],[1.424831299984362],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
49,0,49,0,110.74374519998673,,110.68700979999267,10,110.74374519998673,110.74374519998673,0.048471199988853186,112.446682699956,[0.426],[-0.086],[1],[0],[0],[1.7122832000022754],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
50,0,50,0,112.5447078999714,,112.45340349996695,10,112.5447078999714,112.5447078999714,0.06024369999067858,114.8466202999698,[0.322],[-0.196],[1],[0],[0],[2.3334360999870114],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
51,0,51,0,114.91115429997444,,114.85374039999442,5,114.91115429997444,114.91115429997444,0.030185699986759573,116.48288889997639,[-0.49],[0.052],[1],[0],[0],[1.5996234999620356],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
52,0,52,0,116.52687779994449,,116.48945109994384,5,116.52687779994449,116.52687779994449,0.028803399996832013,118.46602259995416,[-0.144],[-0.176],[1],[0],[0],[1.9481699999887496],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
53,0,53,0,118.5277519999654,,118.47245869995095,10,118.5277519999654,118.5277519999654,0.03689210000447929,120.49642519996269,[-0.472],[-0.46],[1],[0],[0],[1.9877795000211336],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
54,0,54,0,120.54379909997806,,120.50419699994382,5,120.54379909997806,120.54379909997806,0.03115230001276359,122.48096539999824,[0.49],[-0.372],[1],[0],[0],[1.946278000017628],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
55,0,55,0,122.52711809996981,,122.48742789996322,5,122.52711809996981,122.52711809996981,0.029627200041431934,124.33131879998837,[-0.434],[0.262],[1],[0],[0],[1.8149501999723725],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
56,0,56,0,124.39501769997878,,124.33919599995716,5,124.39501769997878,124.39501769997878,0.030646300001535565,126.11284689995227,[-0.194],[-0.074],[1],[0],[0],[1.7444005999714136],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
57,0,57,0,126.19419379997998,,126.12001229997259,10,126.19419379997998,126.19419379997998,0.05866959999548271,127.54832949995762,[-0.326],[-0.15],[1],[0],[0],[1.3703309000120498],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
58,0,58,0,127.61060709995218,,127.55519519996597,10,127.61060709995218,127.61060709995218,0.04120530001819134,129.11363039998105,[-0.416],[0.172],[1],[0],[0],[1.517803399998229],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
59,0,59,0,129.1772784999921,,129.120778099983,10,129.1772784999921,129.1772784999921,0.03821400000015274,130.96398829994723,[-0.26],[-0.238],[1],[0],[0],[1.8056062000105157],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
60,0,60,0,131.02833249996183,,130.97076499997638,5,131.02833249996183,131.02833249996183,0.03246369998669252,132.67967289994704,[0.412],[-0.428],[1],[0],[0],[1.677256200055126],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
61,0,61,0,132.76086539996322,,132.6881273999461,10,132.76086539996322,132.76086539996322,0.061820600007195026,134.21338679996552,[-0.108],[-0.252],[1],[0],[0],[1.4651561999926344],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
62,0,62,0,134.27765519998502,,134.2205703999498,10,134.27765519998502,134.27765519998502,0.038649800000712276,135.8305675999727,[-0.042],[-0.048],[1],[0],[0],[1.5720818000263534],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
63,0,63,0,135.9445846999879,,135.83881469996413,10,135.9445846999879,135.9445846999879,0.06470519996946678,138.24705209996318,[0.39],[-0.444],[1],[0],[0],[2.3442978999810293],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
64,0,64,0,138.3113672999898,,138.2539721999783,5,138.3113672999898,138.3113672999898,0.03120819997275248,140.38149549998343,[-0.486],[0.246],[1],[0],[0],[2.097096999990754],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
65,0,65,0,140.4446912999847,,140.38803709996864,5,140.4446912999847,140.4446912999847,0.03083810000680387,142.2136067999527,[0.41],[-0.278],[1],[0],[0],[1.7953125999774784],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
66,0,66,0,142.29386409994913,,142.22048819996417,10,142.29386409994913,142.29386409994913,0.044994199997745454,144.17968739999924,[-0.072],[-0.148],[1],[0],[0],[1.9150143999722786],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
67,0,67,0,144.22729849995812,,144.18686359998537,5,144.22729849995812,144.22729849995812,0.026118899986613542,145.86481659999117,[0.126],[0.274],[1],[0],[0],[1.6527773000416346],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
